Trema,1,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,3,3,1,1,,gitを使用してインストールします。
Ryu,1,FALSE,FALSE,TRUE,"	false",TRUE,FALSE,FALSE,1,3,3,1,1,,
OpenDaylight,1,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,2,3,2,1,2,OpenDaylightによって開発されているSDNコントローラーです。,公式サイトからインストールします。
OpenContrail,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2,3,2,2,2,,
ONOS,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,2,3,2,2,2,,
Open vSwitch,2,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,2,3,2,2,2,,
Lagopus,2,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,2,3,2,2,3,,
VyOS,4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,3,2,2,2,,VyOS公式サイトでディスクイメージとして配布されています。
Cisco IOS,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,1,1,2,3,,
